Country	Protected area	Group name	Question	Type of value	Stakeholder	Value	Potential (value)
Montenegro	NP Durmitor	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	1	0
Montenegro	NP Durmitor	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	1	1
Montenegro	NP Durmitor	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	2	0
Montenegro	NP Durmitor	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	1	0
Montenegro	NP Durmitor	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	2	0
Montenegro	NP Durmitor	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	1	1
Montenegro	NP Durmitor	Knowledge	Building knowledge	Importance of value	Local people living in the PA	2	0
Montenegro	NP Durmitor	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	2	0
Montenegro	NP Durmitor	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Knowledge	Genetic material	Importance of value	Local people living in the PA	1	0
Montenegro	NP Durmitor	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	1	1
Montenegro	NP Durmitor	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	1	0
Montenegro	NP Durmitor	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	2	0
Montenegro	NP Durmitor	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	1	0
Montenegro	NP Durmitor	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	1
Montenegro	NP Durmitor	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Durmitor	Materials	Wood	Importance of value	Local people living in the PA	1	0
Montenegro	NP Durmitor	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	2	0
Serbia	NP Fruška Gora	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	2	1
Serbia	NP Fruška Gora	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Knowledge	Building knowledge	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Serbia	NP Fruška Gora	Materials	Wood	Importance of value	Local people living in the PA	1	0
Serbia	NP Fruška Gora	Materials	Wood	Economic importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	1	1
Macedonia	NP Galičica	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	2	1
Macedonia	NP Galičica	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	1	0
Macedonia	NP Galičica	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	1	1
Macedonia	NP Galičica	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Macedonia	NP Galičica	Materials	Wood	Importance of value	Local people living in the PA	2	0
Macedonia	NP Galičica	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Materials	Wood	Importance of value	Local people living in the PA	0	0
Kosovo	PP Germia	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	1	1
Slovenia	PP Krajinski Park Goričko	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	2	1
Slovenia	PP Krajinski Park Goričko	Values related to food	Fishing	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	2	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	1	1
Slovenia	PP Krajinski Park Goričko	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	2	0
Slovenia	PP Krajinski Park Goričko	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	2	0
Slovenia	PP Krajinski Park Goričko	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	1	1
Slovenia	PP Krajinski Park Goričko	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	1
Slovenia	PP Krajinski Park Goričko	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	1	1
Slovenia	PP Krajinski Park Goričko	Knowledge	Building knowledge	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	1	0
Slovenia	PP Krajinski Park Goričko	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	2	0
Slovenia	PP Krajinski Park Goričko	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Slovenia	PP Krajinski Park Goričko	Materials	Wood	Importance of value	Local people living in the PA	2	0
Slovenia	PP Krajinski Park Goričko	Materials	Wood	Economic importance of value	Local people living in the PA	1	0
Serbia	PP Gornje Podunavlje	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Materials	Wood	Importance of value	Local people living in the PA	0	0
Serbia	PP Gornje Podunavlje	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	1
Bosnia and Herzegovina	PP Hutovo Blato	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Fishing	Importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Fishing	Economic importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	2	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	2	0
Bosnia and Herzegovina	PP Hutovo Blato	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	1	0
Bosnia and Herzegovina	PP Hutovo Blato	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Bosnia and Herzegovina	PP Hutovo Blato	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
